product_id,name,category,brand,price,description,color,size,last_update_time
26,ClassicCo Jeans Black XS,Jeans,ClassicCo,123.67,Quality jeans from ClassicCo,Black,M,2024-03-28 17:07:50
27,ClassicCo Jackets Blue S,Jackets,ClassicCo,192.94,Quality jackets from ClassicCo,Blue,S,2024-02-11 19:34:22
28,UrbanStyle Jeans Navy XL,Jeans,UrbanStyle,243.85,Quality jeans from UrbanStyle,Pink,XL,2024-02-29 04:13:07
29,ActiveWear Jeans Green L,Jeans,ActiveWear,100.53,Quality jeans from ActiveWear,Black,L,2024-02-14 18:33:25
30,PureThread Jackets White L,Jackets,PureThread,331.65,Quality jackets from PureThread,Green,XXL,2024-01-16 08:06:35
31,ClassicCo Shoes Green S,Shoes,ClassicCo,349.79,Quality shoes from ClassicCo,Pink,XS,2024-02-14 08:30:16
32,TrendSet Jeans Gray XL,Jeans,TrendSet,114.12,Quality jeans from TrendSet,Green,XS,2024-02-25 12:40:35
33,TrendSet Sportswear Black XL,Sportswear,TrendSet,304.8,Quality sportswear from TrendSet,Black,XL,2024-01-27 15:35:08
34,TrendSet Accessories Green S,Accessories,TrendSet,218.37,Quality accessories from TrendSet,Gray,S,2024-03-21 20:39:19
35,ActiveWear Accessories Green XXL,Accessories,ActiveWear,268.12,Quality accessories from ActiveWear,Blue,XXL,2024-03-01 06:46:52
36,UrbanStyle T-Shirts Pink XS,T-Shirts,UrbanStyle,209.16,Quality t-shirts from UrbanStyle,Blue,XS,2024-01-30 23:51:56
37,ClassicCo Jackets Navy S,Jackets,ClassicCo,82.27,Quality jackets from ClassicCo,Gray,XL,2024-03-13 13:45:23
38,ClassicCo Dresses Blue M,Dresses,ClassicCo,321.21,Quality dresses from ClassicCo,Pink,M,2024-03-21 15:08:29
39,ClassicCo Accessories White L,Accessories,ClassicCo,337.57,Quality accessories from ClassicCo,Blue,S,2024-03-19 01:59:51
40,TrendSet Sportswear Gray XS,Sportswear,TrendSet,279.88,Quality sportswear from TrendSet,Black,M,2024-03-23 02:43:38
41,UrbanStyle Dresses Gray XXL,Dresses,UrbanStyle,265.92,Quality dresses from UrbanStyle,Green,XL,2024-02-14 03:43:41
42,ClassicCo Shoes Red L,Shoes,ClassicCo,23.38,Quality shoes from ClassicCo,Gray,XL,2024-01-11 12:27:52
43,UrbanStyle Jeans Pink XXL,Jeans,UrbanStyle,116.23,Quality jeans from UrbanStyle,Navy,XS,2024-03-02 16:35:54
44,UrbanStyle Jeans Green L,Jeans,UrbanStyle,53.9,Quality jeans from UrbanStyle,Red,XL,2024-01-04 14:42:37
45,TrendSet Jeans Gray XXL,Jeans,TrendSet,333.04,Quality jeans from TrendSet,Navy,XL,2024-02-14 01:03:59
46,ActiveWear Accessories Navy XXL,Accessories,ActiveWear,48.17,Quality accessories from ActiveWear,Pink,XL,2024-03-26 23:09:49
47,ClassicCo Shoes Gray S,Shoes,ClassicCo,163.53,Quality shoes from ClassicCo,Red,M,2024-01-04 04:14:04
48,ClassicCo T-Shirts Gray XS,T-Shirts,ClassicCo,148.38,Quality t-shirts from ClassicCo,Red,XS,2024-02-22 20:41:50
49,TrendSet Sportswear Red XXL,Sportswear,TrendSet,229.23,Quality sportswear from TrendSet,Black,XS,2024-01-09 21:36:52
50,ClassicCo Sportswear Blue XL,Sportswear,ClassicCo,83.74,Quality sportswear from ClassicCo,Red,XL,2024-01-24 15:33:23
